Guten Tag,

nach langer Zeit wieder einige DAX-Daten von mir. Es sind dies die 
vollstaendigen Daten fuer 1997, jetzt auch mit Eroeffnungsstaenden
(die  aus den ersten Januartagen fehlen mir leider). Fuer die Zukunft habe 
ich vor, die entsprechenden Daten wieder quartalsweise zu posten.

Daten aus weiter zurueckliegender Zeit befinden sich auf

ftp://ftp.neuroinformatik.ruhr-uni-bochum.de/pub/outgoing/fritzke/dax/

In diesem Verzeichnis befindet sich auch eine html-Seite
(Welcome.html), die den Zugriff auf diese Daten etwas
benutzerfreundlicher gestaltet. Vielen Dank hierbei an
Albrecht Pfenningwerth, der diesen Service ermoeglicht hat.

Nick

Deutscher Aktien-Index (DAX) 1997


Datum     Schluss   Hoechst   Tiefst    Eroeffnung
2.9.97   2691.29   2691.29   2674.78   2674.78
3.9.97   2729.19   2732.60   2719.22   2719.22
4.9.97   2713.22   2731.64   2703.96   2727.07
5.9.97   2739.83   2744.90   2736.09   2736.09
08.09.97  2728.32   2737.06   2728.32   2735.93
09.09.97  2734.30   2734.42   2726.25   2729.97
10.09.97  2773.43   2775.96   2761.81   2761.81
11.09.97  2777.01   2785.16   2767.94   2785.14
12.09.97  2795.80   2799.05   2787.60   2790.31
15.09.97  2763.84   2793.27   2763.84   2793.27
16.09.97  2764.09   2773.84   2758.72   2773.84
17.09.97  2774.50   2784.63   2773.56   2777.29
18.09.97  2772.34   2774.29   2760.33   2764.96
19.09.97  2763.69   2764.88   2756.11   2764.88
22.09.97  2799.19   2799.19   2783.28   2783.28
23.09.97  2810.64   2819.95   2808.68   2808.68
24.09.97  2797.03   2807.29   2793.30   2806.92
25.09.97  2817.49   2818.65   2803.53   2803.53
26.09.97  2845.52   2845.52   2837.62   2838.60
29.9.97   2858.60   2860.24   2853.18   2854.75
30.9.97   2886.98   2895.19   2886.12   2890.66
1.10.97   2866.07   2874.39   2857.88   2868.47
2.10.97   2909.91   2914.61   2889.07   2889.07
3.10.97   2791.96   2838.22   2760.76   2838.22
6.10.97   2857.24   2872.57   2839.41   2839.41
07.10.97  2891.00   2893.30   2882.23   2882.23
08.10.97  2841.05   2853.68   2839.12   2853.68
09.10.97  2847.08   2852.96   2837.78   2844.44
10.10.97  2799.71   2814.31   2797.54   2813.34
13.10.97  2855.79   2855.79   2831.24   2831.24
14.10.97  2815.13   2826.74   2811.19   2826.74
15.10.97  2820.75   2825.78   2816.69   2816.69
16.10.97  2807.75   2821.70   2802.83   2820.52
17.10.97  2854.45   2857.14   2843.69   2843.69
20.10.97  2845.57   2847.11   2841.44   2847.11
24.10.97  2852.88   2857.31   2852.73   2853.75
27.10.97  2888.69   2888.69   2853.42   2871.18
