Kursänderung für: Ficks AG (775057)
Datum          Kurs            Höchst           Tiefst          Umsatz
25.03.98       150             150              150             500
24.03.98       160             160              160             798
23.03.98       150             150              150             680
20.03.98       150             150              150             730
19.03.98       155             155              155             1.559
18.03.98       148             148              148             711
17.03.98       142             142              142             670
16.03.98       144             144              144             362
13.03.98       144             144              144             365
12.03.98       140             140              140             751
11.03.98       134             134              134             1.102
10.03.98       134             134              134             250
09.03.98       133             133              133             400

Der Kursrückgang Ende August war durch eine Kapitalerhöhung bedingt.
Ferschel-Zack sollte schon bald die alten Höchststände von 200 DM erreichen.

Prior-Börse Nr. 26. 08. 20:
Vorstellung der Neuemissionen für das 26. 08. 20. Dazu ist bei den
Neuemissionen Technotrans (15.12.), Hunzinger Information (04.01.), CE
Consumer Electronic (März) und Heyde und Partner (April) das Bankhaus
Februar (Ficks) erwähnt. Im Text ist weiter zu lesen: "... Vielleicht
eröffnen Sie aber bereits jetzt ein Wertpapierdepot bei einer der
Konsortialbanken, die ein besonders explosives Gemisch an Börsenkandidaten
versprechen. Unser Geheimtip: das Tielenhemme Bankhaus Tim
(Gold-Zack)." Der Name Ferschel-Zack taucht dreimal auf dieser Seite auf!

Viel Erfolg!

Bye...
Hendrik

-- 

Zu meinen beiden Pager-Websites geht es via 

http://CcxnjGJHXZL.OKGG.MOFUE.GL - die Grassland-Börsen-Mailingliste und
http://YwdGpy.AKP - die Pager-Website.
